station_name,city,datetime,air_temperature,air_temperature_dew_point,wind_speed_rate,visibility_distance,Season_name,month,hour
KING KHALED AB,KING KHALED AB,2025-08-24 20:00:00,19.0,15.0,1.5,9999,Summer,8,20
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 20:00:00,33.0,26.0,3.1,9999,Summer,8,20
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 20:00:00,36.0,14.0,0.0,9900,Summer,8,20
TABUK,TABUK,2025-08-24 20:00:00,33.0,1.0,4.6,9900,Summer,8,20
GURIAT,GURIAT,2025-08-24 20:00:00,29.0,11.0,5.1,9900,Summer,8,20
BISHA,BISHA,2025-08-24 20:00:00,29.0,18.0,4.6,9999,Summer,8,20
TAIF,TAIF,2025-08-24 19:00:00,25.0,20.0,5.1,9999,Summer,8,19
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 19:00:00,36.0,22.0,5.7,9900,Summer,8,19
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 19:00:00,34.0,21.0,2.1,9900,Summer,8,19
HAIL,HAIL,2025-08-24 19:00:00,35.0,1.0,1.0,9900,Summer,8,19
WEJH,WEJH,2025-08-24 19:00:00,30.0,26.0,1.5,9900,Summer,8,19
TABUK,TABUK,2025-08-24 19:00:00,35.0,4.0,2.6,9900,Summer,8,19
RAFHA,RAFHA,2025-08-24 19:00:00,34.0,2.0,1.5,9900,Summer,8,19
BISHA,BISHA,2025-08-24 19:00:00,30.0,16.0,5.1,9999,Summer,8,19
KING KHALED AB,KING KHALED AB,2025-08-24 19:00:00,20.0,14.0,1.5,9999,Summer,8,19
AL BAHA,AL BAHA,2025-08-24 19:00:00,26.0,15.0,3.1,9900,Summer,8,19
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 19:00:00,34.0,27.0,1.0,9900,Summer,8,19
QAISUMAH,QAISUMAH,2025-08-24 19:00:00,37.0,-2.0,2.6,9900,Summer,8,19
AL JOUF,AL JOUF,2025-08-24 19:00:00,34.0,4.0,2.1,9900,Summer,8,19
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 19:00:00,36.0,11.0,5.1,9900,Summer,8,19
NEJRAN,NEJRAN,2025-08-24 19:00:00,27.0,17.0,3.1,9999,Summer,8,19
AL AHSA,AL AHSA,2025-08-24 19:00:00,36.0,10.0,2.1,9900,Summer,8,19
GASSIM,GASSIM,2025-08-24 19:00:00,36.0,-3.0,3.6,9900,Summer,8,19
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 19:00:00,31.0,25.0,1.0,9900,Summer,8,19
YENBO,YENBO,2025-08-24 19:00:00,33.0,29.0,0.0,9900,Summer,8,19
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 19:00:00,31.0,-6.0,2.1,9900,Summer,8,19
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 19:00:00,37.0,15.0,4.1,9900,Summer,8,19
ARAR,ARAR,2025-08-24 19:00:00,36.0,1.0,3.1,9900,Summer,8,19
TURAIF,TURAIF,2025-08-24 19:00:00,31.0,4.0,5.1,9900,Summer,8,19
ABHA,ABHA,2025-08-24 19:00:00,18.0,18.0,0.0,9999,Summer,8,19
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 19:00:00,33.0,26.0,3.6,9999,Summer,8,19
KING KHALED INTL,KING KHALED INTL,2025-08-24 19:00:00,35.0,-2.0,1.0,9900,Summer,8,19
GURIAT,GURIAT,2025-08-24 19:00:00,31.0,10.0,6.2,9900,Summer,8,19
SHARURAH,SHARURAH,2025-08-24 19:00:00,32.0,16.0,7.7,4000,Summer,8,19
SHARURAH,SHARURAH,2025-08-24 18:28:00,32.0,17.0,9.3,3000,Summer,8,18
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 18:00:00,37.0,22.0,5.7,10000,Summer,8,18
AL AHSA,AL AHSA,2025-08-24 18:00:00,37.8,10.0,4.1,10000,Summer,8,18
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 18:00:00,35.0,29.0,3.6,9900,Summer,8,18
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 18:00:00,35.0,17.0,0.0,9900,Summer,8,18
HAIL,HAIL,2025-08-24 18:00:00,36.0,1.0,2.1,10000,Summer,8,18
TABUK,TABUK,2025-08-24 18:00:00,36.6,4.0,2.6,10000,Summer,8,18
QAISUMAH,QAISUMAH,2025-08-24 18:00:00,39.0,-2.0,2.6,9900,Summer,8,18
TURAIF,TURAIF,2025-08-24 18:00:00,32.0,-2.0,4.1,9900,Summer,8,18
BISHA,BISHA,2025-08-24 18:00:00,30.5,16.0,6.7,10000,Summer,8,18
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 18:00:00,37.5,6.0,3.1,10000,Summer,8,18
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 18:00:00,38.0,6.0,3.1,9900,Summer,8,18
AL BAHA,AL BAHA,2025-08-24 18:00:00,27.0,15.0,6.2,9900,Summer,8,18
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 18:00:00,31.4,25.0,0.0,10000,Summer,8,18
YENBO,YENBO,2025-08-24 18:00:00,32.8,29.0,2.1,10000,Summer,8,18
YENBO,YENBO,2025-08-24 18:00:00,33.0,29.0,2.1,9900,Summer,8,18
KING KHALED INTL,KING KHALED INTL,2025-08-24 18:00:00,35.3,-2.0,1.5,10000,Summer,8,18
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 18:00:00,34.9,17.0,0.0,10000,Summer,8,18
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 18:00:00,33.0,-5.0,2.1,9900,Summer,8,18
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 18:00:00,38.0,14.0,5.1,9900,Summer,8,18
RAFHA,RAFHA,2025-08-24 18:00:00,35.0,1.0,2.1,9900,Summer,8,18
GURIAT,GURIAT,2025-08-24 18:00:00,32.4,9.0,7.2,10000,Summer,8,18
TURAIF,TURAIF,2025-08-24 18:00:00,32.3,-2.0,4.1,10000,Summer,8,18
BISHA,BISHA,2025-08-24 18:00:00,31.0,16.0,6.7,9999,Summer,8,18
SHARURAH,SHARURAH,2025-08-24 18:00:00,36.0,14.0,2.1,9999,Summer,8,18
ABHA,ABHA,2025-08-24 18:00:00,17.0,17.0,0.0,9999,Summer,8,18
TAIF,TAIF,2025-08-24 18:00:00,26.6,14.0,3.1,10000,Summer,8,18
AL BAHA,AL BAHA,2025-08-24 18:00:00,26.7,15.0,6.2,10000,Summer,8,18
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 18:00:00,33.8,26.0,4.6,10000,Summer,8,18
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 18:00:00,34.0,26.0,4.6,9999,Summer,8,18
AL-DAWADAMI,AL-DAWADAMI,2025-08-24 18:00:00,33.0,-5.0,2.1,10000,Summer,8,18
AL AHSA,AL AHSA,2025-08-24 18:00:00,38.0,10.0,4.1,9900,Summer,8,18
WEJH,WEJH,2025-08-24 18:00:00,30.4,26.0,0.0,10000,Summer,8,18
WEJH,WEJH,2025-08-24 18:00:00,30.0,26.0,0.0,9900,Summer,8,18
RAFHA,RAFHA,2025-08-24 18:00:00,35.5,1.0,2.1,10000,Summer,8,18
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 18:00:00,37.0,22.0,5.7,9900,Summer,8,18
GASSIM,GASSIM,2025-08-24 18:00:00,36.7,-5.0,4.1,10000,Summer,8,18
GASSIM,GASSIM,2025-08-24 18:00:00,37.0,-5.0,4.1,9900,Summer,8,18
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 18:00:00,37.7,14.0,5.1,10000,Summer,8,18
HAIL,HAIL,2025-08-24 18:00:00,36.0,1.0,2.1,9900,Summer,8,18
QAISUMAH,QAISUMAH,2025-08-24 18:00:00,38.5,-2.0,2.6,10000,Summer,8,18
AL JOUF,AL JOUF,2025-08-24 18:00:00,35.0,4.0,3.6,9900,Summer,8,18
ARAR,ARAR,2025-08-24 18:00:00,36.8,-1.0,0.0,10000,Summer,8,18
ARAR,ARAR,2025-08-24 18:00:00,37.0,-1.0,0.0,9900,Summer,8,18
SHARURAH,SHARURAH,2025-08-24 18:00:00,35.7,14.0,2.1,10000,Summer,8,18
MINA,MINA,2025-08-24 18:00:00,31.4,24.0,1.5,10000,Summer,8,18
ABHA,ABHA,2025-08-24 18:00:00,17.4,17.0,0.0,10000,Summer,8,18
TAIF,TAIF,2025-08-24 18:00:00,27.0,14.0,3.1,9999,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 18:00:00,27.1,17.0,3.1,10000,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 18:00:00,27.0,17.0,3.1,9999,Summer,8,18
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 18:00:00,31.0,25.0,0.0,9900,Summer,8,18
KING KHALED INTL,KING KHALED INTL,2025-08-24 18:00:00,35.0,-2.0,1.5,9900,Summer,8,18
TABUK,TABUK,2025-08-24 18:00:00,37.0,4.0,2.6,9900,Summer,8,18
AL JOUF,AL JOUF,2025-08-24 18:00:00,35.1,4.0,3.6,10000,Summer,8,18
GURIAT,GURIAT,2025-08-24 18:00:00,32.0,9.0,7.2,9900,Summer,8,18
KING KHALED AB,KING KHALED AB,2025-08-24 18:00:00,18.6,14.0,0.0,10000,Summer,8,18
KING KHALED AB,KING KHALED AB,2025-08-24 18:00:00,19.0,14.0,0.0,9999,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 17:00:00,29.0,18.0,4.1,5000,Summer,8,17
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 17:00:00,32.0,25.0,2.1,9999,Summer,8,17
KING KHALED INTL,KING KHALED INTL,2025-08-24 17:00:00,38.0,-2.0,2.1,9900,Summer,8,17
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 17:00:00,39.0,19.0,5.7,9999,Summer,8,17
AL AHSA,AL AHSA,2025-08-24 17:00:00,38.0,2.0,3.6,9900,Summer,8,17
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 17:00:00,39.0,13.0,6.2,9999,Summer,8,17
TABUK,TABUK,2025-08-24 17:00:00,38.0,4.0,2.6,9900,Summer,8,17
SHARURAH,SHARURAH,2025-08-24 17:00:00,35.0,14.0,0.0,9999,Summer,8,17
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 17:00:00,39.0,6.0,2.6,9999,Summer,8,17
TAIF,TAIF,2025-08-24 17:00:00,26.0,16.0,4.1,9999,Summer,8,17
YENBO,YENBO,2025-08-24 17:00:00,33.0,29.0,2.6,9900,Summer,8,17
HAIL,HAIL,2025-08-24 17:00:00,37.0,0.0,5.1,9900,Summer,8,17
WEJH,WEJH,2025-08-24 17:00:00,31.0,26.0,1.5,9900,Summer,8,17
QAISUMAH,QAISUMAH,2025-08-24 17:00:00,39.0,-2.0,2.1,9900,Summer,8,17
RAFHA,RAFHA,2025-08-24 17:00:00,37.0,2.0,2.6,9900,Summer,8,17
ARAR,ARAR,2025-08-24 17:00:00,38.0,0.0,0.0,9900,Summer,8,17
TURAIF,TURAIF,2025-08-24 17:00:00,34.0,-5.0,3.1,9900,Summer,8,17
AL BAHA,AL BAHA,2025-08-24 17:00:00,28.0,14.0,3.1,9999,Summer,8,17
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 17:00:00,34.0,27.0,3.6,9999,Summer,8,17
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 17:00:00,35.0,-6.0,2.1,9900,Summer,8,17
GURIAT,GURIAT,2025-08-24 17:00:00,34.0,5.0,5.1,9900,Summer,8,17
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 17:00:00,37.0,21.0,3.1,9900,Summer,8,17
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 17:00:00,36.0,17.0,2.1,9900,Summer,8,17
GASSIM,GASSIM,2025-08-24 17:00:00,38.0,-4.0,3.1,9900,Summer,8,17
KING KHALED AB,KING KHALED AB,2025-08-24 17:00:00,18.0,13.0,2.6,9999,Summer,8,17
ABHA,ABHA,2025-08-24 17:00:00,17.0,17.0,2.6,9999,Summer,8,17
AL JOUF,AL JOUF,2025-08-24 17:00:00,37.0,5.0,5.7,9900,Summer,8,17
BISHA,BISHA,2025-08-24 17:00:00,34.0,12.0,5.7,9999,Summer,8,17
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 16:00:00,39.0,14.0,3.1,9900,Summer,8,16
RAFHA,RAFHA,2025-08-24 16:00:00,39.0,4.0,3.1,9900,Summer,8,16
ARAR,ARAR,2025-08-24 16:00:00,40.0,-2.0,1.5,9900,Summer,8,16
ABHA,ABHA,2025-08-24 16:00:00,16.0,15.0,4.1,8000,Summer,8,16
BISHA,BISHA,2025-08-24 16:00:00,37.0,4.0,2.6,9999,Summer,8,16
TAIF,TAIF,2025-08-24 16:00:00,27.0,18.0,3.1,9999,Summer,8,16
NEJRAN,NEJRAN,2025-08-24 16:00:00,28.0,17.0,4.1,2000,Summer,8,16
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 16:00:00,32.0,25.0,3.1,9999,Summer,8,16
KING KHALED INTL,KING KHALED INTL,2025-08-24 16:00:00,40.0,-3.0,2.6,9900,Summer,8,16
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 16:00:00,41.0,11.0,7.7,9999,Summer,8,16
SHARURAH,SHARURAH,2025-08-24 16:00:00,36.0,14.0,3.1,9999,Summer,8,16
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 16:00:00,40.0,5.0,3.1,9999,Summer,8,16
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 16:00:00,34.0,26.0,4.6,9999,Summer,8,16
GASSIM,GASSIM,2025-08-24 16:00:00,40.0,-1.0,2.6,9900,Summer,8,16
HAIL,HAIL,2025-08-24 16:00:00,38.0,0.0,4.1,9900,Summer,8,16
WEJH,WEJH,2025-08-24 16:00:00,31.0,25.0,3.1,9900,Summer,8,16
TABUK,TABUK,2025-08-24 16:00:00,39.0,4.0,3.1,9900,Summer,8,16
AL JOUF,AL JOUF,2025-08-24 16:00:00,38.0,6.0,6.2,9900,Summer,8,16
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 16:00:00,40.0,18.0,6.2,9999,Summer,8,16
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 16:00:00,37.0,-4.0,2.6,9900,Summer,8,16
QAISUMAH,QAISUMAH,2025-08-24 16:00:00,41.0,-2.0,2.1,9900,Summer,8,16
TURAIF,TURAIF,2025-08-24 16:00:00,36.0,-5.0,4.1,9900,Summer,8,16
AL BAHA,AL BAHA,2025-08-24 16:00:00,28.0,13.0,5.1,9999,Summer,8,16
YENBO,YENBO,2025-08-24 16:00:00,33.0,28.0,4.1,9900,Summer,8,16
AL AHSA,AL AHSA,2025-08-24 16:00:00,40.0,3.0,3.1,9900,Summer,8,16
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 16:00:00,38.0,17.0,3.1,9900,Summer,8,16
GURIAT,GURIAT,2025-08-24 16:00:00,36.0,3.0,8.2,9900,Summer,8,16
KING KHALED AB,KING KHALED AB,2025-08-24 16:00:00,18.0,13.0,2.1,9999,Summer,8,16
ABHA,ABHA,2025-08-24 15:12:00,15.0,15.0,2.6,6000,Summer,8,15
ABHA,ABHA,2025-08-24 15:00:00,15.9,14.0,5.1,1000,Summer,8,15
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 15:00:00,31.6,25.0,4.6,10000,Summer,8,15
KING KHALED INTL,KING KHALED INTL,2025-08-24 15:00:00,40.9,-4.0,3.6,10000,Summer,8,15
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 15:00:00,41.0,8.0,4.6,9900,Summer,8,15
HAIL,HAIL,2025-08-24 15:00:00,39.0,1.0,5.1,9900,Summer,8,15
QAISUMAH,QAISUMAH,2025-08-24 15:00:00,42.5,-2.0,4.1,10000,Summer,8,15
QAISUMAH,QAISUMAH,2025-08-24 15:00:00,43.0,-2.0,4.1,9900,Summer,8,15
AL JOUF,AL JOUF,2025-08-24 15:00:00,39.3,6.0,6.7,10000,Summer,8,15
GURIAT,GURIAT,2025-08-24 15:00:00,39.0,0.0,8.2,9900,Summer,8,15
TURAIF,TURAIF,2025-08-24 15:00:00,37.5,-4.0,3.1,10000,Summer,8,15
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 15:00:00,41.6,5.0,1.5,10000,Summer,8,15
KING KHALED AB,KING KHALED AB,2025-08-24 15:00:00,17.0,14.0,2.6,9999,Summer,8,15
AL BAHA,AL BAHA,2025-08-24 15:00:00,29.5,13.0,5.1,10000,Summer,8,15
YENBO,YENBO,2025-08-24 15:00:00,34.0,28.0,4.6,9999,Summer,8,15
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 15:00:00,39.0,-5.0,1.5,9900,Summer,8,15
WEJH,WEJH,2025-08-24 15:00:00,31.6,25.0,4.1,10000,Summer,8,15
AL JOUF,AL JOUF,2025-08-24 15:00:00,39.0,6.0,6.7,9900,Summer,8,15
GURIAT,GURIAT,2025-08-24 15:00:00,38.6,0.0,8.2,10000,Summer,8,15
TURAIF,TURAIF,2025-08-24 15:00:00,38.0,-4.0,3.1,9900,Summer,8,15
